,Unnamed: 0,X_Value,Loadcell5k,PRESSURE_ENGINE,PRESSURE_FUEL,PRESSURE_FUEL_DOME,PRESSURE_LOX,PRESSURE_LOX_DOME,THERMO_FUEL,THERMO_LOX,Loadcell5k 1
180,180,1.8,211.7498,-1.9220400000000002,-1.297962,8.333571000000001,-1.7182,0.6881,27.086102,34.151782,inf
181,181,1.81,-47.55195,-1.9220400000000002,-1.297962,8.333571000000001,-0.59967,0.6881,28.724709999999998,32.212769,
182,182,1.82,42.20635,-1.9220400000000002,-1.297962,8.333571000000001,-0.59967,0.6881,29.661058,34.798120000000004,inf
183,183,1.83,-57.5251,-1.9220400000000002,-1.297962,8.333571000000001,-1.7182,0.6881,28.022448999999998,34.151782,
184,184,1.84,141.93779,-1.9220400000000002,-1.297962,8.333571000000001,-2.8367299999999998,-0.543809,29.192884000000003,33.505444,inf
185,185,1.85,151.91093999999998,-1.9220400000000002,-1.297962,8.333571000000001,-1.7182,0.6881,29.661058,34.474951000000004,inf
186,186,1.86,-77.47139,-1.9220400000000002,-1.297962,8.333571000000001,-1.7182,0.6881,31.065579,32.859106,
187,187,1.87,32.233200000000004,-1.9220400000000002,-1.297962,8.333571000000001,-1.7182,0.6881,28.724709999999998,34.474951000000004,inf
188,188,1.88,82.09893,-4.41496,-1.297962,8.333571000000001,-1.7182,0.6881,28.256535999999997,33.828613,inf
189,189,1.89,211.7498,-1.9220400000000002,-0.090931,8.333571000000001,-1.7182,0.6881,28.022448999999998,32.212769,inf
190,190,1.9,-27.60566,-4.41496,-0.090931,8.333571000000001,-1.7182,0.6881,28.724709999999998,34.798120000000004,
191,191,1.91,22.26006,-1.9220400000000002,-1.297962,8.333571000000001,-1.7182,0.6881,29.661058,33.828613,inf
192,192,1.92,-37.57881,-1.9220400000000002,-1.297962,8.333571000000001,-1.7182,0.6881,28.724709999999998,34.151782,
193,193,1.93,121.9915,-1.9220400000000002,-1.297962,5.893508,-1.7182,0.6881,28.724709999999998,33.828613,inf
194,194,1.94,161.88407999999998,-1.9220400000000002,-1.297962,8.333571000000001,-1.7182,0.6881,27.320188,34.151782,inf
195,195,1.95,-87.44453,-1.9220400000000002,-1.297962,8.333571000000001,-1.7182,0.6881,28.490623,35.767627000000005,
196,196,1.96,42.20635,-1.9220400000000002,-0.090931,8.333571000000001,-1.7182,0.6881,28.958796999999997,36.090796000000005,inf
197,197,1.97,42.20635,-1.9220400000000002,-1.297962,8.333571000000001,-1.7182,0.6881,29.661058,34.151782,inf
198,198,1.98,211.7498,-1.9220400000000002,-1.297962,8.333571000000001,-1.7182,0.6881,28.256535999999997,33.505444,inf
199,199,1.99,-67.49824000000001,-4.41496,-1.297962,8.333571000000001,-1.7182,0.6881,27.554275,33.828613,
200,200,2.0,52.17949,-1.9220400000000002,-0.090931,8.333571000000001,-1.7182,0.6881,28.724709999999998,34.798120000000004,inf
201,201,2.01,-37.57881,-1.9220400000000002,-1.297962,8.333571000000001,-1.7182,0.6881,28.724709999999998,36.737134000000005,
202,202,2.02,141.93779,-1.9220400000000002,-1.297962,8.333571000000001,-1.7182,0.6881,29.192884000000003,33.828613,inf
203,203,2.03,161.88407999999998,-1.9220400000000002,-1.297962,8.333571000000001,-1.7182,0.6881,31.299666,34.474951000000004,inf
204,204,2.04,-97.41767999999999,-1.9220400000000002,-1.297962,8.333571000000001,-1.7182,0.6881,27.320188,35.121289000000004,
205,205,2.05,52.17949,-1.9220400000000002,-1.297962,8.333571000000001,-1.7182,0.6881,29.192884000000003,34.798120000000004,inf
206,206,2.06,12.286909999999999,-4.41496,-1.297962,8.333571000000001,-1.7182,0.6881,28.256535999999997,33.505444,inf
207,207,2.07,72.12577999999999,-1.9220400000000002,-1.297962,8.333571000000001,-1.7182,0.6881,29.426971,33.828613,inf
